pathway	external_id	source	hgnc_symbol_ids
Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	path:hsa04750	KEGG	"CALM2,CALM3,CALM1,PTGER4,PIK3CA,PIK3CB,PIK3CD,NTRK1,PTGER2,PIK3CG,PLA2G6,TRPV4,TRPV1,TRPV3,TRPV2,PIK3R1,CAMK2D,HRH1,CAMK2A,CAMK2B,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,ADCY8,ADCY9,NGF,IGF1,IL1R1,PIK3R5,TRPM8,PIK3R2,HTR2C,HTR2B,PLCB1,PLCB2,PLCB3,PLCB4,ASIC5,ASIC4,ASIC1,ASIC3,ASIC2,ITPR2,ITPR3,ITPR1,GNAQ,GNAS,CALML3,CALML6,CALML5,CALML4,CYP2J2,MAPK14,PLA2G4C,PIK3R3,MAPK10,MAPK11,MAPK12,MAPK13,IL1B,MAPK8,MAPK9,SRC,BDKRB1,BDKRB2,PRKCQ,JMJD7-PLA2G4B,PRKACG,PRKACA,PRKACB,F2RL1,MAP2K6,MAP2K3,PLCG2,PLCG1,ALOX12,TRPA1,PRKCH,CAMK2G,PRKCA,PRKCB,PRKCE,PRKCD,PRKCG,HTR2A,IL1RAP,P2RY2,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,PPP1CB,PPP1CC,PPP1CA"
Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	path:hsa00604	KEGG	"B3GALT4,ST3GAL2,ST3GAL1,B4GALNT1,ST3GAL5,HEXA,ST8SIA5,HEXB,GLB1,SLC33A1,ST8SIA1,ST6GALNAC6,ST6GALNAC5,ST6GALNAC4,ST6GALNAC3"
Non-small cell lung cancer - Homo sapiens (human)	path:hsa05223	KEGG	"FHIT,RASSF1,PIK3CD,HRAS,RASSF5,MAP2K1,FOXO3,PLCG2,BAD,AKT3,ARAF,RB1,RXRG,RAF1,EGF,SOS1,RARB,ALK,PIK3CA,PIK3CB,NRAS,EML4,PIK3CG,MAPK3,PIK3R5,MAPK1,PIK3R3,PIK3R2,PIK3R1,ERBB2,TGFA,CDKN2A,PRKCA,EGFR,PRKCB,RXRA,PRKCG,STK4,RXRB,TP53,KRAS,E2F3,SOS2,E2F1,AKT1,CCND1,E2F2,AKT2,PLCG1,CASP9,MAP2K2,GRB2,CDK4,BRAF,CDK6,PDPK1"
Platelet activation - Homo sapiens (human)	path:hsa04611	KEGG	"PTGS1,ACTG1,FYN,AKT1,AKT2,AKT3,PIK3CA,PIK3CB,PIK3CD,PIK3R5,PIK3CG,GP9,PRKG1,GP6,FGG,FGA,FGB,ADCY4,ARHGEF12,TBXAS1,PLA2G4A,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,SNAP23,SYK,ADCY3,ADCY8,ADCY9,F2R,GUCY1B3,ACTB,RASGRP2,PRKCI,RASGRP1,APBB1IP,ITGA2,MYLK,ORAI1,COL3A1,GUCY1A3,GUCY1A2,PIK3R3,PIK3R2,PIK3R1,PRKG2,PRKACA,PLCB1,PLCB2,PLCB3,PLCB4,PRKACB,ITPR2,ITPR3,RHOA,PTGIR,GNAQ,GNAS,JMJD7-PLA2G4B,VWF,BTK,RAP1B,RAP1A,MAPK14,MAPK11,MAPK12,MAPK13,ARHGEF1,GNAI2,GNAI3,GNAI1,FCER1G,ITPR1,ITGA2B,GP1BA,P2RY12,GP1BB,MAPK3,MAPK1,PPP1R12A,TBXA2R,LCP2,MYLK4,MYLK2,MYLK3,FERMT3,GP5,LYN,MYL12B,MYL12A,PRKACG,COL1A2,COL1A1,F2RL3,STIM1,SRC,PLCG2,P2RX1,TLN2,TLN1,GNA13,ITGB1,ITGB3,NOS3,FCGR2A,PRKCZ,PLA2G4C,PLA2G4B,VASP,P2RY1,PLA2G4F,PLA2G4E,PLA2G4D,PPP1CB,PPP1CC,PPP1CA,VAMP8,ROCK1,ROCK2,ARHGAP35"
Cell adhesion molecules (CAMs) - Homo sapiens (human)	path:hsa04514	KEGG	"NRCAM,CD34,GLG1,TIGIT,VTCN1,CD226,L1CAM,CD40LG,PECAM1,NTNG1,NTNG2,SPN,CDH1,CDH3,CDH2,CDH5,CDH4,CD8A,HLA-DPB1,CD28,LRRC4,HLA-DRB3,HLA-DRB1,HLA-DRB4,HLA-DRB5,NEGR1,LRRC4C,LRRC4B,NRXN3,NRXN2,NRXN1,MAG,ITGA8,ITGA9,HLA-C,HLA-B,HLA-A,HLA-G,HLA-F,HLA-E,CNTN2,CNTN1,ICOSLG,MADCAM1,CLDN8,CLDN9,HLA-DQB1,ITGB8,CLDN1,CLDN2,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CTLA4,NLGN4X,JAM2,JAM3,NFASC,F11R,CD99,SDC1,SDC2,SDC3,SDC4,ITGAV,ITGAL,ITGAM,ESAM,CD80,MPZ,CLDN10,CLDN11,CLDN16,CLDN17,CLDN14,CLDN15,CLDN18,CLDN19,CD4,CD6,CD2,NCAM1,NCAM2,PVR,MPZL1,ALCAM,CD86,NECTIN2,NECTIN3,NECTIN1,ICAM3,ICAM2,ICAM1,CADM3,PDCD1,ICOS,NLGN2,NLGN3,NLGN1,ITGA4,ITGA6,OCLN,CD8B,HLA-DOA,HLA-DOB,CD274,HLA-DPA1,CADM1,CD276,CDH15,CD58,VCAN,CNTNAP1,CNTNAP2,HLA-DMB,HLA-DRA,SELPLG,NEO1,VCAM1,CD22,ITGB1,ITGB2,ITGB7,CLDN23,CLDN22,NLGN4Y,CLDN20,CD40,CLDN25,CLDN24,PDCD1LG2,SELL,SELE,SIGLEC1,PTPRF,PTPRC,PTPRM,SELP,HLA-DQA1,HLA-DQA2,HLA-DMA"
Chronic myeloid leukemia - Homo sapiens (human)	path:hsa05220	KEGG	"BCL2L1,TGFB1,TGFB2,TGFB3,CRKL,CBLB,SMAD4,CDKN1B,CDKN1A,NFKBIA,GAB2,MAP2K1,SMAD3,IKBKB,MAP2K2,BAD,AKT3,ARAF,IKBKG,SOS2,ABL1,CRK,PIK3CG,RAF1,BCR,SOS1,RUNX1,STAT5B,MECOM,PIK3CA,PIK3CB,NRAS,RB1,PIK3CD,MAPK3,PIK3R5,MAPK1,PIK3R3,PIK3R2,PIK3R1,HDAC2,NFKB1,MYC,HRAS,CBLC,TGFBR2,TGFBR1,CDKN2A,SHC1,SHC2,SHC3,CHUK,TP53,MDM2,RELA,HDAC1,KRAS,E2F3,E2F2,E2F1,AKT1,SHC4,PTPN11,AKT2,CBL,CCND1,STAT5A,GRB2,CDK4,BRAF,CDK6,CTBP1,CTBP2"
ECM-receptor interaction - Homo sapiens (human)	path:hsa04512	KEGG	"ITGA8,ITGA9,GP1BB,LAMC1,TNC,CHAD,ITGA1,ITGA2,HSPG2,ITGA4,ITGA5,CD36,ITGA7,ITGB1,ITGA10,ITGA11,LAMB1,LAMA4,LAMB3,LAMB2,COL2A1,LAMB4,LAMA5,TNN,ITGA3,THBS2,IBSP,THBS4,TNR,TNXB,THBS3,ITGA6,THBS1,DAG1,GP6,RELN,CD44,SV2A,GP5,SV2C,SV2B,GP9,HMMR,LAMA1,LAMA2,LAMA3,ITGB5,ITGB4,ITGB7,ITGB6,COMP,CD47,COL1A1,COL9A2,COL9A3,VTN,COL4A6,COL4A5,COL4A4,COL4A3,COL4A2,COL4A1,LAMC2,LAMC3,COL9A1,COL1A2,COL6A3,ITGB3,AGRN,ITGB8,FN1,GP1BA,SDC1,SDC4,ITGAV,SPP1,ITGA2B,COL6A1,VWF,COL6A2,COL6A5,COL6A6"
Focal adhesion - Homo sapiens (human)	path:hsa04510	KEGG	"ACTG1,CRKL,TLN2,MYL7,AKT2,MYL5,MYL2,RAPGEF1,CAV2,CAV3,ZYX,MYL9,PIK3CA,PIK3CB,PIK3CD,PIK3CG,RELN,ERBB2,IGF1R,DIAPH1,SHC2,SHC3,RAP1B,MYL12B,MYLK2,SOS1,FN1,AKT1,CCND1,CCND3,CCND2,MYLK,GSK3B,PTEN,AKT3,PAK4,PAK5,ACTB,PAK1,PAK2,PAK3,ITGA8,ITGA9,ITGA1,ITGA2,ITGA3,ITGA4,PDGFB,ITGA6,ITGA7,ITGA10,ITGA11,BCL2,LAMB1,CRK,LAMB3,LAMB2,IBSP,LAMB4,RAC3,ELK1,COL2A1,THBS4,RAC1,JUN,THBS3,THBS1,PIK3R5,GRB2,PIK3R3,PIK3R2,PIK3R1,COL1A2,CAV1,IGF1,MYL10,VEGFD,COL4A5,COL4A4,VEGFA,COL4A2,VEGFC,VEGFB,LAMC2,LAMC3,RHOA,LAMC1,BCAR1,PAK6,VTN,COL4A3,COL4A6,VAV1,VAV3,VAV2,ITGAV,FLNA,VWF,FLNC,PDGFD,PDGFRB,PDGFRA,COL4A1,CHAD,ILK,RAP1A,RAC2,XIAP,MAPK10,BIRC3,TNR,SOS2,FLT4,RAF1,FLT1,THBS2,ITGA2B,MAPK3,MAPK1,PPP1R12A,PPP1R12B,PPP1R12C,PARVB,MAPK8,PARVA,EGF,PARVG,KDR,CAPN2,LAMA1,LAMA2,DOCK1,LAMA4,LAMA5,COMP,MYLK4,COL9A2,MYLK3,ITGA5,PPP1CB,MAPK9,RASGRF1,MYL12A,PIP5K1C,PPP1CA,MAP2K1,TNN,MET,SPP1,COL1A1,CDC42,SHC4,PTK2,SRC,EGFR,BIRC2,CTNNB1,BAD,LAMA3,MYLPF,ARHGAP5,SHC1,PGF,FYN,TLN1,PXN,ARHGAP35,ITGB1,PDGFA,ITGB3,PDGFC,ITGB5,ITGB4,ITGB7,ITGB6,PRKCA,ITGB8,PRKCB,VCL,PRKCG,COL9A3,TNC,HGF,VASP,COL9A1,FLNB,ACTN1,TNXB,HRAS,PPP1CC,ACTN4,ROCK1,ROCK2,BRAF,COL6A1,PDPK1,COL6A3,COL6A2,COL6A5,COL6A6"
Protein export - Homo sapiens (human)	path:hsa03060	KEGG	"SPCS1,HSPA5,SPCS3,OXA1L,SEC62,SEC63,IMMP2L,SRP54,SRPRB,SPCS2,SRPRA,SRP14,SRP19,SRP72,SRP9,IMMP1L,SEC61G,SEC61B,SEC11A,SEC11C,SRP68,SEC61A1,SEC61A2"
Type I diabetes mellitus - Homo sapiens (human)	path:hsa04940	KEGG	"HLA-F,HLA-C,HLA-B,HLA-A,HLA-G,IL12B,IL12A,IL1A,IL1B,GAD1,GAD2,HLA-DRA,CD80,ICA1,CD86,HSPD1,HLA-DQB1,PTPRN2,HLA-DPB1,HLA-E,CD28,IFNG,HLA-DRB3,HLA-DRB1,CPE,HLA-DRB4,HLA-DRB5,LTA,TNF,FASLG,PRF1,GZMB,INS,IL2,HLA-DOA,HLA-DOB,FAS,HLA-DPA1,PTPRN,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA"
Beta-mercaptolactate-cysteine disulfiduria	SMP00499	SMPDB	"GCLM,CARS,CTNS,GCLC,CDO1,MPST,LDHAL6A,GOT1,CTH"
mTOR signaling pathway - Homo sapiens (human)	path:hsa04150	KEGG	"STK11,IKBKB,AKT1,AKT2,AKT3,DVL2,DVL3,PIK3CA,PIK3CB,PIK3CD,WNT8B,PIK3CG,DVL1,FLCN,IGF1R,DDIT4,SLC38A9,DEPDC5,KRAS,CAB39L,SOS1,TTI1,GRB10,WDR59,GSK3B,PTEN,GRB2,WNT7A,STRADA,STRADB,WNT7B,ATP6V1D,ATP6V1F,ATP6V1A,SEH1L,ULK3,HRAS,SLC7A5,ATP6V1H,WNT6,FZD10,ATP6V1E2,NPRL3,NPRL2,RAF1,PIK3R5,AKT1S1,PIK3R3,PIK3R2,PIK3R1,IGF1,FNIP1,SEC13,CHUK,EIF4E,TELO2,RHOA,EIF4B,RPS6KA1,RPS6KA2,RPS6KA3,DEPTOR,RPS6KA6,TNFRSF1A,SLC3A2,INS,ATP6V1G3,ATP6V1G2,ATP6V1G1,WNT10A,LAMTOR4,LAMTOR5,WNT5A,LAMTOR1,LAMTOR2,LAMTOR3,WNT3A,SESN2,MAP2K1,RPS6,MIOS,TBC1D7,TSC2,TSC1,FZD1,FNIP2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,RPS6KB1,RPS6KB2,MAPK3,WDR24,MAPK1,RNF152,FZD2,MTOR,MLST8,LRP6,SOS2,SGK1,LRP5,WNT3,WNT2,WNT1,ATP6V1E1,IRS1,WNT4,EIF4E1B,RHEB,WNT10B,CAB39,PRKAA2,PRKAA1,MAP2K2,INSR,SKP2,RPTOR,RICTOR,LPIN1,NRAS,PRR5,MAPKAP1,WNT8A,CLIP1,PDPK1,ATP6V1B1,ATP6V1B2,WNT9B,WNT2B,RRAGD,ULK1,RRAGA,EIF4EBP1,RRAGC,RRAGB,PRKCA,PRKCB,PRKCG,TNF,WNT16,EIF4E2,WNT5B,ULK2,BRAF,WNT9A,ATP6V1C2,ATP6V1C1,WNT11"
Aldosterone synthesis and secretion - Homo sapiens (human)	path:hsa04925	KEGG	"STAR,CAMK1D,CREB1,PLCB1,MC2R,CALML6,CREB3,DAGLB,PLCB4,PDE2A,ADCY2,KCNK9,CACNA1H,CACNA1I,CYP11A1,CALM2,CALM3,CALM1,CAMK1,CACNA1G,CACNA1C,CACNA1D,CAMK4,CACNA1F,KCNK3,NR4A2,PRKACB,CACNA1S,NR4A1,DAGLA,NPR1,PLCB2,ORAI1,LIPE,HSD3B2,CAMK2D,CYP21A2,CREB5,CAMK2G,PRKCE,CAMK2A,CAMK2B,PLCB3,PRKCB,LDLR,PRKCA,PRKCG,ATF4,ITPR2,ITPR3,ITPR1,ATF6B,ADCY1,ADCY4,ADCY5,ADCY6,ADCY7,GNAQ,CAMK1G,ADCY3,CALML3,SCARB1,GNAS,ADCY8,ADCY9,CALML5,CALML4,CREB3L2,CREB3L3,PRKACG,CREB3L1,PRKACA,HSD3B1,CREB3L4,GNA11,CYP11B2,AGTR1,ATF2,ATF1,PRKD1,PRKD2,PRKD3"
Nucleotide excision repair - Homo sapiens (human)	path:hsa03420	KEGG	"ERCC8,RAD23B,RAD23A,RFC5,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,ERCC6,RFC2,POLE,CETN2,POLD1,POLD2,POLE4,POLD4,LIG1,RFC4,DDB2,DDB1,XPA,PCNA,GTF2H2C_2,RFC1,GTF2H3,GTF2H2,GTF2H1,CDK7,GTF2H5,GTF2H4,RFC3,BIVM-ERCC5,MNAT1,RBX1,GTF2H2C,RPA1,RPA3,RPA2,CUL4A,CUL4B,POLE3,POLE2,RPA4,XPC,POLD3,CCNH"
Regulation of lipolysis in adipocytes - Homo sapiens (human)	path:hsa04923	KEGG	"PTGS2,PTGS1,NPR1,ADORA1,TSHB,MGLL,IRS1,AKT1,INSR,AKT3,TSHR,PIK3CG,GNAI2,GNAI3,GNAI1,NPY,CGA,PIK3CA,PIK3CB,PIK3CD,PRKACG,PDE3B,PNPLA2,PIK3R5,PIK3R3,PIK3R2,PIK3R1,PRKG2,PRKG1,PLIN1,AQP7,LIPE,PTGER3,ADCY3,ADCY6,ADCY9,ABHD5,ADCY4,ADCY5,PLA2G16,ADCY7,ADCY1,ADCY2,GNAS,IRS4,NPY1R,ADCY8,AKT2,IRS2,INS,ADRB1,ADRB2,ADRB3,PRKACA,PRKACB,FABP4"
Retinol metabolism - Homo sapiens (human)	path:hsa00830	KEGG	"AOX1,RETSAT,AWAT2,RPE65,UGT2A3,UGT2A2,UGT2A1,DHRS4L1,CYP2S1,UGT1A8,UGT1A9,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A1,ALDH1A2,UGT1A3,RDH8,DHRS9,DGAT1,DHRS4,RDH5,CYP2B6,DHRS3,ALDH1A1,CYP26B1,UGT2B15,UGT2B17,UGT2B10,UGT2B11,PNPLA4,LRAT,HSD17B6,RDH11,ADH1C,UGT2B7,UGT2B4,RDH12,CYP1A1,BCO1,CYP2A6,ADH1B,UGT1A10,CYP3A7,CYP3A4,CYP3A5,CYP3A7-CYP3A51P,CYP2C9,CYP2C8,CYP1A2,ADH7,ADH6,ADH5,ADH4,SDR16C5,ADH1A,RDH16,RDH10,CYP2C18,DHRS4L2,UGT2B28,CYP26C1,CYP4A11,CYP26A1"
Oxytocin signaling pathway - Homo sapiens (human)	path:hsa04921	KEGG	"CD38,PTGS2,ACTG1,PPP3R1,PRKAG1,PRKAG3,PRKAG2,MYL6,PPP3R2,MYL9,EEF2K,CALM2,CALM3,CALM1,RYR1,PIK3CA,RYR3,RYR2,PIK3CD,CAMK4,CACNA1F,PIK3CG,CACNA1S,NPR1,NPR2,CAMK2D,CAMK2G,CAMK2A,CAMK2B,CACNA2D2,CACNA2D3,CACNA2D1,CACNA2D4,KRAS,ADCY4,ADCY5,ADCY6,ADCY7,ADCY1,ADCY2,ADCY3,CCND1,ADCY8,ADCY9,ELK1,GUCY1B3,ACTB,NFATC1,NFATC2,NFATC3,NFATC4,GNAO1,CDKN1A,MYLK,PRKAB2,RAF1,PRKAB1,JUN,GUCY1A3,GUCY1A2,PIK3R3,PIK3R2,PIK3R1,CAMK1,TRPM2,PLCB1,PLCB2,PLCB3,PLCB4,FOS,OXT,PRKACB,PIK3R5,ITPR2,ITPR3,RHOA,ITPR1,GNAQ,GNAS,CALML3,CALML6,CALML5,CALML4,MEF2C,CAMKK2,CAMKK1,PIK3CB,CACNA1C,RCAN1,CACNA1D,GNAI2,GNAI3,GNAI1,CACNB3,CACNB2,CACNB1,CACNB4,MAPK3,MAPK1,PPP1R12A,PPP1R12B,PPP1R12C,HRAS,MAPK7,SRC,MYLK4,MYLK2,MYLK3,KCNJ3,KCNJ2,KCNJ6,KCNJ5,KCNJ4,KCNJ9,JMJD7-PLA2G4B,PRKACG,PRKACA,OXTR,MYL6B,CAMK1D,CAMK1G,EGFR,PRKAA2,PRKAA1,MAP2K2,MAP2K1,MAP2K5,PPP3CB,NRAS,RGS2,KCNJ12,NOS3,KCNJ14,PRKCA,PRKCB,PRKCG,PPP3CA,PLA2G4C,PLA2G4B,PLA2G4A,PLA2G4F,PLA2G4E,PLA2G4D,PPP3CC,PPP1CB,PPP1CC,PPP1CA,ROCK1,ROCK2,CACNG8,EEF2,CACNG1,CACNG2,CACNG3,CACNG4,CACNG5,CACNG6,CACNG7"
