ComplexName	GO description	FunCat description	subunits(Gene name)
"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"	protein processing (proteolytic);regulator of transcription factor;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	protein processing;regulation of sequence-specific DNA binding transcription factor activity;Notch signaling pathway;plasma membrane;Golgi apparatus	PSEN1;NCSTN;APH1A;PSENEN;
CASK-MINT complex	assembly of protein complexes;synaptic vesicle exocytosis	protein complex assembly;synaptic vesicle transport;synaptic vesicle exocytosis	APBA1;CASK;
AP2 adaptor complex	"protein targeting, sorting and translocation;protein transport;assembly of protein complexes;vesicular transport (Golgi network, etc.);endocytosis;intracellular transport vesicles"	intracellular protein transport;protein targeting;protein transport;protein complex assembly;vesicle-mediated transport;endocytosis;transport vesicle	AP2A2;AP2S1;AP2B1;AP2M1;
RGS7-Gbeta5-Galphaq complex	G-protein coupled receptor signalling pathway	G-protein coupled receptor signaling pathway	RGS7;GNAQ;GNB5;
DNMT3B complex	DNA methylation;DNA conformation modification (e.g. chromatin);M phase;chromosome segregation/division;organization of chromosome structure;chromosome	DNA methylation;DNA topological change;M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B;
Rab5 GDP/GTP exchange factor complex	endocytosis	endocytosis	RABEP1;RABGEF1;
Gbeta5-rgs7 complex	G-protein coupled receptor signalling pathway	G-protein coupled receptor signaling pathway	RGS7;GNB5;
SIN3 complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus"	SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A;
HDAC4-ERK1 complex	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus"	MAPK3;HDAC4;
Elongin (SIII) complex	transcription elongation;transcription activation;regulation by binding / dissociation;protein binding;enzyme activator;nucleus	"DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;regulation of binding;protein binding;positive regulation of catalytic activity;enzyme activator activity;nucleus"	TCEB2;TCEB1;TCEB3;
HDAC4-ERK2 complex	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus"	MAPK1;HDAC4;
SMRT complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus"	HDAC3;TBL1X;GPS2;TBL1XR1;NCOR2;
AP3 adaptor complex	"protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome"	intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome	AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1;
Interferon-stimulated gene factor 3 transcription complex ISGF3	transcriptional control;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"	STAT1;STAT2;IRF9;
Mi2/NuRD complex	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein acetylation;protein deacetylation;chromosome organization;nucleus"	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2;
Cohesin-SA1 complex	M phase;chromosome segregation/division;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	RAD21;SMC1A;STAG1;SMC3;
Cohesin-SA2 complex	M phase;organization of chromosome structure;nucleus	M phase;mitotic nuclear division;chromosome organization;nucleus	RAD21;SMC1A;STAG2;SMC3;
Multiprotein trafficking complex	"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);channel / pore class transport;animal specific systemic sensing and response"	cation transmembrane transporter activity;cation transport;channel activity;response to stimulus	APBA1;KCNJ12;DLG1;CASK;LIN7C;
AP4 adaptor complex	"protein targeting, sorting and translocation;protein transport;protein binding;post Golgi transport;endocytosis;intracellular transport vesicles;Golgi"	intracellular protein transport;protein targeting;protein transport;protein binding;post-Golgi vesicle-mediated transport;endocytosis;transport vesicle;Golgi apparatus	AP4M1;AP4E1;AP4S1;AP4B1;
BCDX2 complex	DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	RAD51B;RAD51C;XRCC2;RAD51D;
ApoB mRNA editing enzyme complex	mRNA modification;RNA binding	mRNA modification;RNA binding	APOBEC1;A1CF;KHSRP;
CLIC4 complex	anion transport ;ion channels;homeostasis;cell membrane or cell wall attached;cell wall	anion transmembrane transporter activity;anion transport;ion channel activity;ion homeostasis;cellular ion homeostasis;extrinsic component of membrane;cell wall	CKB;DNM2;ACTB;YWHAE;YWHAZ;TUBA1A;CLIC4;
MRN complex (MRE11-RAD50-NBN complex)	"DNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus"	DNA catabolic process;DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	NBN;MRE11A;RAD50;
R/M complex (RAD50-MRE11 complex)	DNA degradation;DNA repair;DNA binding;DNA damage response;organization of chromosome structure;nucleus	DNA catabolic process;DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	MRE11A;RAD50;
TRPC1-Homer3-IP3R complex	"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;cellular signalling"	cation transmembrane transporter activity;cation transport;ion channel activity;signaling	TRPC1;ITPR1;HOMER3;
TSC1-TSC2 complex	"translational control;modification by phosphorylation, dephosphorylation, autophosphorylation"	regulation of translation;protein phosphorylation;protein dephosphorylation;protein autophosphorylation	TSC2;TSC1;
Cytoplasmic dynein complex	conversion to kinetic energy (e.g. movement);cell motility;protein binding;cytoskeleton-dependent transport;endocytosis	locomotion;movement of cell or subcellular component;multicellular organismal movement;protein binding;cytoskeleton-dependent intracellular transport;endocytosis	DYNC1H1;DYNLRB1;DNAJA1;DYNLL1;DYNC1I2;DYNC1I1;DYNC2H1;DYNC1LI1;DYNLT1;
nNos-Capon-Syn1 complex	NO mediated signal transduction	nitric oxide mediated signal transduction	NOS1AP;SYN1;NOS1;
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)"	protein ubiquitination;protein deubiquitination;ubiquitin-dependent protein catabolic process	RBX1;SKP1;SKP2;CUL1;
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"	"modification by ubiquitination, deubiquitination"	protein ubiquitination;protein deubiquitination	RBX1;SKP1;CUL7;FBXW8;
"Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul2, Rbx1)"	"modification by ubiquitination, deubiquitination;protein binding"	protein ubiquitination;protein deubiquitination;protein binding	TCEB2;TCEB1;RBX1;VHL;CUL2;
Tubulin:stathmin complex	cell cycle;microtubule cytoskeleton	cell cycle;microtubule cytoskeleton organization	TUBA4A;STMN1;TUBB2B;
Nucleic acid channel complex	nucleotide/nucleoside/nucleobase transport;channel / pore class transport;eukaryotic plasma membrane / membrane attached	nucleoside transmembrane transporter activity;nucleobase-containing compound transport;nucleotide transport;nucleotide transmembrane transporter activity;nucleoside transport;channel activity;plasma membrane	MDH1;NUP58;
NUMAC complex (nucleosomal methylation activator complex)	"DNA conformation modification (e.g. chromatin);transcription activation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;hormone mediated signal transduction;cellular signalling;organization of chromosome structure;nucleus"	"DNA topological change;positive regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;DNA binding;hormone-mediated signaling pathway;signaling;chromosome organization;nucleus"	ARID1A;SMARCA4;ACTB;SMARCB1;CARM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1;SCYL1;
Nup 107-160 subcomplex	"protein transport;CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES;nuclear transport;centromere / kinetochore"	"protein transport;protein transporter activity;transport;nuclear transport;chromosome, centromeric region"	NUP98;SEC13;NUP107;NUP160;NUP43;NUP37;NUP133;SEH1L;NUP85;
"SNARE complex (Scfd1, Sec22b, Stx5, Bet1, Gosr2, Gosr1)"	ER to Golgi transport;intra Golgi transport;vesicle formation;vesicle fusion;synaptic vesicle exocytosis;endoplasmic reticulum;Golgi	ER to Golgi vesicle-mediated transport;intra-Golgi vesicle-mediated transport;membrane budding;vesicle organization;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;endoplasmic reticulum;Golgi apparatus	GOSR2;STX5;SEC22B;BET1;GOSR1;SCFD1;
Exocyst Sec6/8 complex	protein transport;exocytosis	protein transport;protein transporter activity;exocytosis	EXOC5;EXOC3;EXOC8;EXOC6;EXOC4;EXOC2;EXOC1;EXOC7;
CD28-transactivation complex	transcription initiation;transcriptional control;nucleus	"DNA-templated transcription, initiation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"	CD28;NCL;
SNF2H-BAZ1A complex	DNA conformation modification (e.g. chromatin);transcriptional control;organization of chromosome structure;nucleus	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;chromosome organization;nucleus"	SMARCA5;BAZ1A;
Ku antigen-NARG1 complex	transcriptional control;DNA binding	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding"	XRCC6;XRCC5;NAA15;
p300-MDM2-p53 protein complex	transcriptional control;enzymatic activity regulation / enzyme regulator;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;enzyme regulator activity;regulation of catalytic activity;nucleus"	TP53;MDM2;EP300;
hNURF complex	DNA conformation modification (e.g. chromatin);transcriptional control;neurogenesis;organization of chromosome structure;neuron;nucleus	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;neurogenesis;generation of neurons;chromosome organization;neuron differentiation;nucleus"	SMARCA1;RBBP4;BPTF;RBBP7;
Meiotic cohesin complex	meiosis I;meiosis II;organization of chromosome structure;nucleus	meiosis I;meiosis II;chromosome organization;nucleus	SYCP3;REC8;SMC1B;SMC3;
RNA polymerase II holoenzyme complex	TRANSCRIPTION;DNA binding;nucleus	"transcription, DNA-templated;DNA binding;nucleus"	POLR2D;GTF2F2;ERCC2;POLR2C;POLR2E;ERCC3;TBP;POLR2A;GTF2E1;GTF2E2;POLR2B;GTF2H1;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;GTF2H2;GTF2H3;GTF2H4;
RNA polymerase II core complex	TRANSCRIPTION;DNA binding;nucleus	"transcription, DNA-templated;DNA binding;nucleus"	POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;
Polycomb repressive complex 2 (PRC 2)	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus"	EED;RBBP4;SUZ12;EZH2;RBBP7;
Srf-myogenin-E12 complex	transcriptional control;cell differentiation;muscle	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;cell differentiation;muscle organ development"	MYOG;TCF3;SRF;
"Fertilin complex (Adam1b, Adam2)"	protein transport	protein transport;protein transporter activity	ADAM2;ADAM1B;
SNAPc (small nuclear RNA-activating protein) complex	transcriptional control;protein binding;DNA binding;regulation by binding / dissociation;regulator of transcription factor;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding;DNA binding;regulation of binding;protein binding;regulation of sequence-specific DNA binding transcription factor activity;nucleus"	SNAPC5;SNAPC2;SNAPC1;SNAPC4;SNAPC3;
GPR56-CD81-Galpha(q/11)-Gbeta complex	None	None	GNA11;GNAQ;CD81;GNB1;ADGRG1;
GPI-GnT activity complex	phospholipid metabolism;endoplasmic reticulum	phospholipid metabolic process;phospholipid biosynthetic process;phospholipid catabolic process;endoplasmic reticulum	PIGA;PIGH;PIGC;PIGQ;
Lymphotoxin beta receptor complex	transmembrane signal transduction;apoptosis (type I programmed cell death)	cell surface receptor signaling pathway;apoptotic process	LTA;LTBR;LTB;
Rnase/Mrp complex	RNA degradation;rRNA processing;RNA binding;nucleus	RNA catabolic process;rRNA processing;RNA binding;nucleus	POP7;RPP40;RPP14;POP4;RPP38;RPP30;POP5;POP1;RPP25;RPP21;
RGS9-GNB5-GNAT1-R9AP complex	G-protein coupled receptor signalling pathway;photoperception and response;eukaryotic plasma membrane / membrane attached	G-protein coupled receptor signaling pathway;detection of light stimulus;response to light stimulus;plasma membrane	RGS9;GNAT1;RGS9BP;
NDC80 kinetochore complex	mitotic cell cycle;chromosome segregation/division;centromere / kinetochore	"mitotic cell cycle;chromosome segregation;chromosome, centromeric region"	NDC80;SPC24;NUF2;SPC25;
PIDDsome complex	caspase activation;apoptosis (type I programmed cell death)	activation of cysteine-type endopeptidase activity involved in apoptotic process;apoptotic process	CASP2;CRADD;PIDD1;
"Skeletal muscle sarcoglycan complex SGC, alpha-beta-gamma-delta"	assembly of protein complexes;striated muscle contraction;myogenesis;striated muscle;eukaryotic plasma membrane / membrane attached	protein complex assembly;striated muscle contraction;skeletal muscle tissue development;striated muscle tissue development;plasma membrane	SGCD;SGCG;SGCB;SGCA;
Troponin complex	calcium binding;muscle contraction;muscle;actin cytoskeleton	calcium ion binding;muscle contraction;muscle organ development;actin cytoskeleton	TNNC2;TNNT3;TNNI2;
Telomere-associated protein complex	DNA binding;organization of chromosome structure;nucleus	DNA binding;chromosome organization;nucleus;telomere maintenance	TERF1;TERF2;ACD;TINF2;POT1;TERF2IP;
SDH-mABC1-PIC-ANT-ATPase complex	"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;mitochondrial inner membrane"	cation transmembrane transporter activity;cation transport;ion channel activity;mitochondrial inner membrane	ATP5A1;SLC25A3;SDHB;SLC25A4;ABCB8;SDHA;
E-box sequence-binding complex	transcriptional control;neurogenesis;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;neurogenesis;generation of neurons;nucleus"	LMO2;NHLH2;LDB1;BEX2;
Sos1-Abi1-Eps8 complex	small GTPase mediated signal transduction	small GTPase mediated signal transduction	EPS8;SOS1;ABI1;
"CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant)"	protein processing (proteolytic);cellular signalling;eukaryotic plasma membrane / membrane attached;Golgi	protein processing;signaling;plasma membrane;Golgi apparatus	BSG;PSEN1;NCSTN;APH1A;PSENEN;
APP-FE65-LRP complex	protein processing (proteolytic)	protein processing	APBB1;APP;LRP1;
Gamma-BAR-AP1 complex	"protein targeting, sorting and translocation;protein transport;REGULATION OF METABOLISM AND PROTEIN FUNCTION;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"	intracellular protein transport;protein targeting;protein transport;regulation of biological process;vesicle-mediated transport;membrane budding;vesicle organization;endocytosis;transport vesicle	AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2;
CCT:PFD complex	protein folding and stabilization;protein binding;ATP binding;cytoplasm	protein stabilization;protein folding;protein binding;ATP binding;cytoplasm	PFDN6;PFDN1;VBP1;CCT7;CCT4;TCP1;CCT6A;CCT3;CCT5;CCT2;CCT8;PFDN5;PFDN4;PFDN2;
Src-dynamin-synapsin-alpha-adaptin complex	synaptic vesicle exocytosis	synaptic vesicle transport;synaptic vesicle exocytosis	SYN1;AP2A2;DNM1;SRC;
TFIIE complex	transcription initiation;transcriptional control;nucleus	"DNA-templated transcription, initiation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"	GTF2E1;GTF2E2;
TFIIF complex (transcription factor IIF)	transcription initiation;magnesium binding;ATP binding;nucleus	"DNA-templated transcription, initiation;magnesium ion binding;ATP binding;nucleus"	GTF2F2;GTF2F1;
Src1-Ep300-Crebbp complex	transcription activation;regulator of receptor activity;cellular signalling	"positive regulation of transcription, DNA-templated;receptor regulator activity;signaling"	CREBBP;NCOA1;EP300;
Retrotranslocation complex	protein transport	protein transport;protein transporter activity	GEMIN4;SYVN1;DERL1;
ATP synthasome	METABOLISM;aerobic respiration	generation of precursor metabolites and energy;aerobic respiration	MT-ATP6;ATP5B;MT-ATP8;ATP5A1;SLC25A3;ATP5F1;ATP5J;ATP5E;ATP5I;ATP5H;ATP5D;ATP5C1;ATP5G1;ATP5G2;ATP5O;SLC25A5;ATP5G3;
Condensin I-PARP-1-XRCC1 complex	DNA repair;DNA damage response;nucleus	DNA repair;cellular response to DNA damage stimulus;nucleus	SMC2;PARP1;XRCC1;NCAPH;NCAPD2;NCAPG;SMC4;
Condensin II	mitotic cell cycle;chromosome condensation;organization of chromosome structure;nucleus	mitotic cell cycle;chromosome condensation;chromosome organization;nucleus	SMC2;NCAPD3;NCAPH2;NCAPG2;SMC4;
SWAP complex	somatic / mitotic recombination;humoral response (B-cells);nucleus	mitotic recombination;B cell mediated immunity;nucleus	NCL;PARP1;NPM1;SWAP70;
COG complex	"modification with sugar residues (e.g. glycosylation, deglycosylation);Golgi;Golgi"	protein glycosylation;Golgi organization;Golgi apparatus	COG7;COG2;COG1;COG3;COG8;COG4;COG5;COG6;
"Protein-sorting complex (Stam2, Hgs, Eps15)"	"protein targeting, sorting and translocation;protein transport"	intracellular protein transport;protein targeting;protein transport	STAM2;EPS15;HGS;
"Protein-sorting complex (Stam1, Hgs, Eps15)"	"protein targeting, sorting and translocation;protein transport"	intracellular protein transport;protein targeting;protein transport	EPS15;STAM;HGS;
Ric-8A G(i) alpha-1 subunit complex	guanyl-nucleotide exchange factor (GEF)	guanyl-nucleotide exchange factor activity	GNAI1;RIC8A;
Ric-8A G(i) alpha-2 subunit complex	guanyl-nucleotide exchange factor (GEF)	guanyl-nucleotide exchange factor activity	GNAI2;RIC8A;
Ric-8A G(o) alpha-1 subunit complex	None	None	GNAO1;RIC8A;
Ric-8A G(q) alpha subunit complex	guanyl-nucleotide exchange factor (GEF)	guanyl-nucleotide exchange factor activity	GNAQ;RIC8A;
Ric-8A G alpha 13 complex	guanyl-nucleotide exchange factor (GEF)	guanyl-nucleotide exchange factor activity	GNA13;RIC8A;
OGT-TRAK1-TRAK2 complex	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);gamma-aminobutyric acid signalling pathway"	protein hydroxylation;protein methylation;gamma-aminobutyric acid signaling pathway	OGT;TRAK2;TRAK1;
Nephrin multiprotein complex	cell-cell adhesion;intercellular junction (gap junction/adherens junction);cell differentiation	single organismal cell-cell adhesion;cell-cell junction assembly;cell differentiation	IQGAP1;MAGI2;SPTAN1;CASK;NPHS1;SPTBN1;ACTN1;
PNUTS-PP1 complex	enzyme inhibitor	enzyme inhibitor activity	PPP1CA;PPP1R10;
26S proteasome	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;stress response;cytoplasm;nucleus	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus	PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13;
Synaptotagmin-sodium channel complex (Syt1-Scn1a-Scn1b)	"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;exocytosis;animal specific systemic sensing and response;eukaryotic plasma membrane / membrane attached"	cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane	SCN1A;SYT1;SCN1B;
Synaptotagmin-sodium channel complex (Syt2-Scn1a-Scn1b)	"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;exocytosis;animal specific systemic sensing and response;eukaryotic plasma membrane / membrane attached"	cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane	SCN1A;SYT2;SCN1B;
Synaptotagmin-sodium channel complex  (Syt1-Scn2a-Scn1b)	"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;exocytosis;animal specific systemic sensing and response;eukaryotic plasma membrane / membrane attached"	cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane	SCN2A;SYT1;SCN1B;
Synaptotagmin-sodium channel complex (Syt2-Scn2a-Scn1b)	"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;exocytosis;animal specific systemic sensing and response;eukaryotic plasma membrane / membrane attached"	cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane	SCN2A;SYT2;SCN1B;
Mitotic checkpoint complex (MCC)	"cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle)"	cell cycle checkpoint	BUB3;BUB1B;CDC20;MAD2L1;
